id,year,Latitude,Longtitude,location,country,main_descriptor,secondary_descriptor,additional_descriptor,depth,exp_year,soc.value,soc.value_units,labmethod,crop,soil type,average slope,average elevation
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,3,20.8,Mg_ha,CN analyzer,"Rice, Mung bean",Oxisol,NA,118
55,2018,20.958,101.4,Luang Namtha district,Laos,Land use,Perennial,Monocrop,25-40,3,21,Mg_ha,Isotope ratio mass spectrometry (IRMS),Rubber,NA,NA,700
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,40-60,8.5,21.03070175,Mg_ha,CN analyzer,NA,Acrisols,NA,600
116,2021,-8.477,116.328,Karang Sidemen Village,Indonesia,Land use,Perennial,Rotation,0-5,NA,21.04,Mg_ha,Walkley and Black,"Avocado, Candlenut, Cocoa, Coffee, Jackfruit, Mangosteen, Guava",NA,NA,612.5
55,2018,20.958,101.4,Luang Namtha district,Laos,Land use,Perennial,Monocrop,40-60,3,21.1,Mg_ha,Isotope ratio mass spectrometry (IRMS),Rubber,NA,NA,700
96,2008,14.083,121,"Los Baños, Laguna",Philippines,Intervention,Fertilization,With fertilization – 120 kg N/ha,40-60,30,21.1,Mg_ha,CN analyzer,Rice,Mollisol,NA,NA
72,2016,10.381,106.117,Cai Lay,Vietnam,Land use,Annual,Rotation,0-10,8,21.1,Mg_ha,Walkley and Black,"Rice, Mung bean, Maize",Fluvisols,NA,2
63,2017,10.35,106.067,Cai Lay,Vietnam,Land use,Annual,Rotation,10-20,5,21.12694301,Mg_ha,Walkley and Black,"Rice, Cucumber, Tomato, Maize, Chili pepper, Okra, Onion, Mung bean, Sesame",Gleyic Fluvisol,< 1,NA
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,25-40,NA,21.18421053,Mg_ha,CN analyzer,NA,Acrisols,NA,600
29,2023,17.747,100.102,Mae Fak,Thailand,Land use,Annual,Rotation,0-30,38,21.188,Mg_ha,Walkley and Black,"Rice, Tobacco, Vegetables, Maize",Typic Tropaquepts,NA,NA
96,2008,14.083,121,"Los Baños, Laguna",Philippines,Intervention,Fertilization,With fertilization – 359 kg N/ha,40-60,30,21.2,Mg_ha,CN analyzer,Rice,Mollisol,NA,NA
